Feature,Coefficient,Abs_Coef
original_shape2D_Sphericity,-2.8344217785022616,2.8344217785022616
original_shape2D_Elongation,1.9247266647114696,1.9247266647114696
original_glrlm_RunEntropy,0.8048542880763195,0.8048542880763195
wavelet-LL_glszm_ZoneEntropy,0.47768079967948335,0.47768079967948335
wavelet-LH_glcm_Correlation,-0.46138866967282455,0.46138866967282455
original_shape2D_MinorAxisLength,0.2698488052573497,0.2698488052573497
wavelet-HH_ngtdm_Strength,0.24656183999007747,0.24656183999007747
wavelet-LL_glszm_SmallAreaEmphasis,-0.13374284934156716,0.13374284934156716
wavelet-HH_glcm_ClusterShade,0.11609557538216746,0.11609557538216746
wavelet-LH_firstorder_Mean,-0.11563984686131813,0.11563984686131813
wavelet-LL_firstorder_Kurtosis,-0.11278542993224609,0.11278542993224609
original_ngtdm_Coarseness,0.09405672330177937,0.09405672330177937
original_firstorder_Kurtosis,-0.09033121496998958,0.09033121496998958
wavelet-LL_firstorder_Energy,-0.08675281347568424,0.08675281347568424
wavelet-LL_firstorder_TotalEnergy,-0.08675281347568424,0.08675281347568424
original_glrlm_ShortRunEmphasis,-0.08287842211124596,0.08287842211124596
wavelet-LL_glcm_ClusterProminence,-0.08184423456542385,0.08184423456542385
original_firstorder_Energy,-0.08153617207076332,0.08153617207076332
original_firstorder_TotalEnergy,-0.08153617207076332,0.08153617207076332
original_glcm_DifferenceVariance,0.07260468574209221,0.07260468574209221
wavelet-HL_glrlm_LongRunLowGrayLevelEmphasis,-0.06566351837733157,0.06566351837733157
original_glszm_ZoneVariance,0.06332719108939393,0.06332719108939393
wavelet-HL_glszm_LowGrayLevelZoneEmphasis,-0.05631898248435635,0.05631898248435635
wavelet-LL_glszm_SizeZoneNonUniformity,-0.02913419380318395,0.02913419380318395
original_firstorder_RobustMeanAbsoluteDeviation,0.026702789987765884,0.026702789987765884
wavelet-HH_firstorder_Median,7.915429098737877e-06,7.915429098737877e-06
